,0,1,2,3,4,5
Junier Marrero Gutierrez,,"Koide, Tie ","Martinez, Cristina Elisa Alvarez","Pinheiro, Daniel Guariz","Silva Neto, José Freire da
",
Caio Rafael do Nascimento Santiago,,"Digiampietri, Luciano Antonio ","Chaim, Marcos Lordello","Ferreira, João Eduardo
",,
Suzane de Andrade Barboza,,"Digiampietri, Luciano Antonio ","Amaral, Fábio Sarubbi Raposo do","Lima, Ariane Machado","Oliveira, Julio Cezar Franco de
",
Juan Enrique Faya Castillo,,"Oliveira, Paulo Sérgio Lopes de ","Benedetti, Celso Eduardo","Giuliatti, Silvana","Schechtman, Deborah
",
Felipe Prata Lima,,"Setubal, João Carlos ","Araujo, Welington Luiz de","Dias Neto, Emmanuel","Hashimoto, Ronaldo Fumio","Varani, Alessandro de Mello
"
Jean Michel Rocha Sampaio Leite,,"Soler, Julia Maria Pavan ","Andrade, Marilia dos Santos","Artioli, Guilherme Giannini","Iambartsev, Anatoli
",
Natália Baptista Cruz,,"Nakaya, Helder Takashi Imoto ","Reis, Eduardo Moraes Rego","Silveira, Eduardo Lani Volpe da","Souza, Renato Pereira de
",
Liliane Santana Oliveira Kashiwabara,,"Gruber, Arthur ","Carvalho, André Carlos Ponce de Leon Ferreira de","Digiampietri, Luciano Antonio","Góes Neto, Aristóteles
",
Mariana Araújo Pereira,,"Nakaya, Helder Takashi Imoto ","Almeida, Sergio Verjovski de","Durigon, Edison Luiz","Rosa, Daniela Santoro
",
Mina Cintho Ozahata,,"Ferreira, João Eduardo ","Almeida Neto, César de","Araújo, Luciano Vieira de","Digiampietri, Luciano Antonio","Meyer, Diogo
"
Pedro de Sa Tavares Russo,,"Nakaya, Helder Takashi Imoto ","Pachón, Diego Mauricio Riaño","Reis, Eduardo Moraes Rego","Simões, Ana Carolina Quirino
",
Omar Julio Sosa,,"Reis, Eduardo Moraes Rego ","Brentani, Helena Paula","Kimura, Edna Teruko","Krepischi, Ana Cristina Victorino","Silva, Israel Tojal da
"
Miriã Nunes Guimarães,,"Gruber, Arthur ","Durigon, Edison Luiz","Hashimoto, Ronaldo Fumio","Oliveira, Guilherme Corrêa de
",
Yagoub Ali Ibrahim Adam,,"Vencio, Ricardo Zorzetto Nicoliello ","Giuliatti, Silvana","Nakaya, Helder Takashi Imoto","Paschoal, Alexandre Rossi","Silva Junior, Wilson Araújo da
"
Andrew Maltez Thomas,,"Setubal, João Carlos ","Hoffmann, Christian","Martins Junior, David Corrêa","Pierulivo, Enrique Mario Boccardo","Segata, Nicola
"
Paula Prieto Oliveira,,"Lima, Ariane Machado ","Giordano, Ricardo José","Marques, Fátima de Lourdes dos Santos Nunes","Maschietto, Mariana","Silva, Israel Tojal da
"
E-mail,"Transcriptoma, sítios de ligação para fatores de transcrição e região promotora de cana-de-açúcar",,,,,
Guilherme Martins Crocetti,Halobacterium salinarum NRC-1: rede de regulação gênica e sua análise probabilística,,,,,
Denis Jacob Machado,,"Marques, Fernando Portella de Luna ","Domingues, Marcus Vinicius","Grant, Taran
",,
Clebiano da Costa Sá,,"Lima, Ariane Machado ","Cerri, Ricardo","Tahira, Ana Carolina
",,
José Geraldo de Carvalho Pereira,,"Oliveira, Paulo Sérgio Lopes de ","Ambrósio, André Luís Berteli","Carvalho, André Carlos Ponce de Leon Ferreira de","Silva, Fernando Luis Barroso da
",
Vinícius Jardim Carvalho,,"Buckeridge, Marcos Silveira ","Carvalho, André Carlos Ponce de Leon Ferreira de","Nakaya, Helder Takashi Imoto","Santos, Renato Vicentini dos
",
Ana Cláudia Martins Ciconelle,,"Soler, Julia Maria Pavan ","Carvalho, Benilton de Sá","Pereira, Alexandre da Costa
",,
Amanda Rusiska Piovezani,,"Buckeridge, Marcos Silveira ","Cesarino, Igor","Hashimoto, Ronaldo Fumio","Margarido, Gabriel Rodrigues Alves","Nishiyama Junior, Milton Yutaka
"
Matheus Carvalho Bürger,,"Nakaya, Helder Takashi Imoto ","Hashimoto, Ronaldo Fumio","Silveira, Eduardo Lani Volpe da
",,
Carlos Eduardo Madureira Trufen,,"Iambartsev, Anatoli ","Soler, Julia Maria Pavan","Winck, Flavia Vischi
",,
Jaqueline Yu Ting Wang,,"Nakaya, Helder Takashi Imoto ","Brentani, Helena Paula","Bueno, Maria Rita dos Santos e Passos","Tahira, Ana Carolina
",
Jhonatas Sirino Monteiro,,"Setubal, João Carlos ","Abessa, Denis Moledo de Souza","Reis, Eduardo Moraes Rego","Silva, Israel Tojal da
",
Antonio Ferrão Neto,,"Lima, Ariane Machado ","Digiampietri, Luciano Antonio","Torres, Tatiana Teixeira
",,
Ester Risério Matos Bertoldi,,"Reis, Eduardo Moraes Rego ","Marie, Suely Kazue Nagahashi","Oikawa, Márcio Katsumi
",,
Cynthia Martins Villar Couto,,"Costa, Luciano da Fontoura ","Carvalho, André Carlos Ponce de Leon Ferreira de","Nakaya, Helder Takashi Imoto","Reis, Sergio Furtado dos","Saito, Jose Hiroki
"
Luiz Thibério Lira Diniz Rangel,,"Setubal, João Carlos ","Lahr, Daniel José Galafasse","Souza, Emanuel Maltempi de","Varani, Alessandro de Mello","Zanotto, Paolo Marinho de Andrade
"
Patrícia de Cássia Ruy,Identificação e análise in silico de ncRNAs empregando dados de RNA-seq em Leishmania,,,,,
George Willian Condomitti Epamino,,"Setubal, João Carlos ","Hashimoto, Ronaldo Fumio","Pinheiro, Daniel Guariz
",,
Gianluca Major Machado da Silva,,"Setubal, João Carlos ","Fujita, André","Mendes, Rodrigo
",,
Rodrigo Guarischi Mattos Amaral de Sousa,,"Setubal, João Carlos ","Boutros, Paul Christopher","Camargo, Anamaria Aranha","Galante, Pedro Alexandre Favoretto","Reis, Eduardo Moraes Rego
"
Pablo de Morais Andrade,,"Pereira, Carlos Alberto de Braganca ","Brentani, Helena Paula","Nishiyama Junior, Milton Yutaka","Setubal, João Carlos","Wechsler, Sergio
"
Lucas Ferreira da Silva,,"Almeida, Sergio Verjovski de ","Cardoso, Alexandre Bruni","Fujita, André","Nakaya, Helder Takashi Imoto","Santos, Francisco Prosdocimi de Castro
"
Sergio Alejandro Poveda Cuevas,,"Silva, Fernando Luis Barroso da ","Barbosa, Leandro Ramos Souza","Quaglio, Luciana Malavolta","Rosa, Jose Cesar
",
Felipe ten Caten,,"Koide, Tie ","Cruz, Angela Kaysel","Marques, Marilis do Valle","Nakaya, Helder Takashi Imoto","Pinheiro, Daniel Guariz
"
Lariani Aparecida Delboni,,"Silva, Fernando Luis Barroso da ","Freitas, Osvaldo de","Quaglio, Luciana Malavolta
",,
Bruno Ferreira de Souza,,"Almeida, Sergio Verjovski de ","Kashiwabara, André Yoshiaki","Nakaya, Helder Takashi Imoto
",,
Gesiele Almeida Barros de Carvalho,,"Sluys, Marie Anne van ","Cunha, Mariangela Hungria da","Fujita, André","Nishiyama Junior, Milton Yutaka","Vitorello, Claudia Barros Monteiro
"
Deyvid Emanuel Amgarten,,"Setubal, João Carlos ","Ventura, Armando Morais","Zanotto, Paolo Marinho de Andrade
",,
Juan Manuel Vidal Garcia,,"Fujita, André ","Carvalho, Benilton de Sá","Takahara, Silvia Yumi Bando
",,
Diego Trindade de Souza,,"Matioli, Sergio Russo ","Alves, João Marcelo Pereira","Briones, Marcelo Ribeiro da Silva","Prosdocimi, Francisco","Setubal, João Carlos
"
Gabriela Der Agopian Guardia,,"Farias, Clever Ricardo Guareis de ","Ferreira, João Eduardo","Pinheiro, Daniel Guariz","Simoes, Zila Luz Paulino","Tinós, Renato
"
Luciana Farina Almansa,,"Macedo, Alessandra Alaniz ","Barbosa, Marcello Henrique Nogueira","Pardo, Thiago Alexandre Salgueiro
",,
Diogo Vieira da Silva Pellegrina,,"Reis, Eduardo Moraes Rego ","Fujita, André","Pinheiro, Daniel Guariz
",,
Fabricio Edgar de Moraes,,"Labate, Carlos Alberto ","Carrer, Helaine","Ferreira, Paulo Cavalcanti Gomes","Setubal, João Carlos","Valente, Guilherme Targino
"
Fabio Fernandes da Rocha Vicente,Integração de dados na inferência de redes de genes: avaliação de informações biológicas e características topológicas,,,,,
Marcos Abraão de Souza Fonseca,,"Vencio, Ricardo Zorzetto Nicoliello ","Cruz, Angela Kaysel","Pappas Junior, Georgios Joannis","Silva, Aline Maria da","Walter, Maria Emília Machado Telles
"
Felipe Augusto Nunes Ferraz,Caracterização de sítios conformacionais de fosforilação em proteínas,,,,,
Abner Cardoso Rodrigues Neto,Caracterização e modelagem da atividade eletrofisiológica em pacientes com epilepsia,,,,,
Yuri Ferretti,,"Felipe, Joaquim Cezar ","Ciferri, Ricardo Rodrigues","Passos Junior, Geraldo Aleixo da Silva
",,
Gabriel Francisco Zaniboni,,"Reis, Eduardo Moraes Rego ","Nakaya, Helder Takashi Imoto","Reis, Marcelo da Silva
",,
Lariza Laura de Oliveira,,"Tinós, Renato ","Brandão, Marcelo Mendes","Bruno, Odemir Martinez","Carvalho, André Carlos Ponce de Leon Ferreira de","Matioli, Sergio Russo
"
Rodrigo Vargas Honorato,,"Oliveira, Paulo Sérgio Lopes de ","Ambrósio, André Luís Berteli","Dardenne, Laurent Emmanuel","Delbem, Alexandre Cláudio Botazzo","Tinós, Renato
"
Gilson Vieira,,"Baccala, Luiz Antonio ","Biazoli Junior, Claudinei Eduardo","Cardoso, Ellison Fernando","Fujita, André","Piqueira, José Roberto Castilho
"
Livia Maria Silva Moura,Busca de variantes em sequência de DNA proveniente de pacientes com deficiência em processos de reparo do genoma,,,,,
Leandro Nascimento Lemos,,"Setubal, João Carlos ","Araujo, Welington Luiz de","Pellizari, Vivian Helena
",,
Ricardo Cacheta Waldemarin,,"Farias, Clever Ricardo Guareis de ","Galvão, Maria Cristiane Barbosa","Wassermann, Renata
",,
Andre Chalom Machado de Oliveira,,"Prado, Paulo Inácio de Knegt López de ","Rocha, Pedro Luis Bernardo da","Vencio, Ricardo Zorzetto Nicoliello
",,
Deibs Barbosa,Análise computacional da variação do potencial metabólico microbiano em metagenomas,,,,,
Fernanda Orpinelli Ramos do Rego,,"Setubal, João Carlos ","Margarido, Gabriel Rodrigues Alves","Vitorello, Claudia Barros Monteiro
",,
Leandro de Araujo Lima,,"Brentani, Helena Paula ","Cesar Junior, Roberto Marcondes","Fujita, André","Marie, Suely Kazue Nagahashi","Polanczyk, Guilherme Vanoni
"
Sérgio Nery Simões,Uma abordagem de integração de dados de redes PPI e expressão gênica para priorizar genes relacionados a doenças complexas,,,,,
Milton Yutaka Nishiyama Junior,,"Souza, Glaucia Mendes ","Araújo, Luciano Vieira de","Brandão, Marcelo Mendes","Digiampietri, Luciano Antonio","Pachón, Diego Mauricio Riaño
"
Ana Claudia Mancusi Valeije,,"Oliveira, Paulo Sérgio Lopes de ","Garratt, Richard Charles","Thiemann, Otavio Henrique
",,
Caio César de Melo Freire,,"Zanotto, Paolo Marinho de Andrade ","Brandão, Paulo Eduardo","Matioli, Sergio Russo","Nakano, Fábio","Souza, Robson Francisco de
"
Karla Ferraz Néto,,"Ruiz, Evandro Eduardo Seron ","Brentani, Helena Paula","Martinez, Alexandre Souto
",,
Mariana Yuri Sasazaki,,"Felipe, Joaquim Cezar ","Lopes, Fabricio Martins","Silva Junior, Wilson Araújo da
",,
Fabio Albuquerque Marchi,"Metodologia para integração de dados genômicos, transcriptômicos e epigenéticos de câncer de pênis",,,,,
José Eduardo Kroll,,"Souza, Sandro José de ","Brentani, Helena Paula","Lima, Ariane Machado","Malnic, Bettina","Pappas Junior, Georgios Joannis
"
José Osório de Oliveira Azevedo Neto,,"Matioli, Sergio Russo ","Brentani, Helena Paula","Ojopi, Elida Paula Benquique","Otto, Paulo Alberto","Pereira, Carlos Alberto de Braganca
"
Danillo Cunha de Almeida e Silva,,"Vencio, Ricardo Zorzetto Nicoliello ","Setubal, João Carlos","Venancio, Thiago Motta
",,
Marcio Branquinho Dutra,,"Macedo, Alessandra Alaniz ","Durham, Elza Helena Andrade Barbosa","Hirata, Nina Sumiko Tomita
",,
Oscar Picchi Netto,,"Baranauskas, José Augusto ","Felipe, Joaquim Cezar","Silva Junior, Wilson Araújo da
",,
