,student,position,name
0,Junier Marrero Gutierrez,president, Tie  Koide
1,Junier Marrero Gutierrez,comitee, Cristina Elisa Alvarez Martinez
2,Junier Marrero Gutierrez,comitee, Daniel Guariz Pinheiro
3,Junier Marrero Gutierrez,comitee, José Freire da Silva Neto
4,Caio Rafael do Nascimento Santiago,president, Luciano Antonio  Digiampietri
5,Caio Rafael do Nascimento Santiago,comitee, Marcos Lordello Chaim
6,Caio Rafael do Nascimento Santiago,comitee, João Eduardo Ferreira
7,Suzane de Andrade Barboza,president, Luciano Antonio  Digiampietri
8,Suzane de Andrade Barboza,comitee, Fábio Sarubbi Raposo do Amaral
9,Suzane de Andrade Barboza,comitee, Ariane Machado Lima
10,Suzane de Andrade Barboza,comitee, Julio Cezar Franco de Oliveira
11,Juan Enrique Faya Castillo,president, Paulo Sérgio Lopes de  Oliveira
12,Juan Enrique Faya Castillo,comitee, Celso Eduardo Benedetti
13,Juan Enrique Faya Castillo,comitee, Silvana Giuliatti
14,Juan Enrique Faya Castillo,comitee, Deborah Schechtman
15,Felipe Prata Lima,president, João Carlos  Setubal
16,Felipe Prata Lima,comitee, Welington Luiz de Araujo
17,Felipe Prata Lima,comitee, Emmanuel Dias Neto
18,Felipe Prata Lima,comitee, Ronaldo Fumio Hashimoto
19,Felipe Prata Lima,comitee, Alessandro de Mello Varani
20,Jean Michel Rocha Sampaio Leite,president, Julia Maria Pavan  Soler
21,Jean Michel Rocha Sampaio Leite,comitee, Marilia dos Santos Andrade
22,Jean Michel Rocha Sampaio Leite,comitee, Guilherme Giannini Artioli
23,Jean Michel Rocha Sampaio Leite,comitee, Anatoli Iambartsev
24,Natália Baptista Cruz,president, Helder Takashi Imoto  Nakaya
25,Natália Baptista Cruz,comitee, Eduardo Moraes Rego Reis
26,Natália Baptista Cruz,comitee, Eduardo Lani Volpe da Silveira
27,Natália Baptista Cruz,comitee, Renato Pereira de Souza
28,Liliane Santana Oliveira Kashiwabara,president, Arthur  Gruber
29,Liliane Santana Oliveira Kashiwabara,comitee, André Carlos Ponce de Leon Ferreira de Carvalho
30,Liliane Santana Oliveira Kashiwabara,comitee, Luciano Antonio Digiampietri
31,Liliane Santana Oliveira Kashiwabara,comitee, Aristóteles Góes Neto
32,Mariana Araújo Pereira,president, Helder Takashi Imoto  Nakaya
33,Mariana Araújo Pereira,comitee, Sergio Verjovski de Almeida
34,Mariana Araújo Pereira,comitee, Edison Luiz Durigon
35,Mariana Araújo Pereira,comitee, Daniela Santoro Rosa
36,Mina Cintho Ozahata,president, João Eduardo  Ferreira
37,Mina Cintho Ozahata,comitee, César de Almeida Neto
38,Mina Cintho Ozahata,comitee, Luciano Vieira de Araújo
39,Mina Cintho Ozahata,comitee, Luciano Antonio Digiampietri
40,Mina Cintho Ozahata,comitee, Diogo Meyer
41,Pedro de Sa Tavares Russo,president, Helder Takashi Imoto  Nakaya
42,Pedro de Sa Tavares Russo,comitee, Diego Mauricio Riaño Pachón
43,Pedro de Sa Tavares Russo,comitee, Eduardo Moraes Rego Reis
44,Pedro de Sa Tavares Russo,comitee, Ana Carolina Quirino Simões
45,Omar Julio Sosa,president, Eduardo Moraes Rego  Reis
46,Omar Julio Sosa,comitee, Helena Paula Brentani
47,Omar Julio Sosa,comitee, Edna Teruko Kimura
48,Omar Julio Sosa,comitee, Ana Cristina Victorino Krepischi
49,Omar Julio Sosa,comitee, Israel Tojal da Silva
50,Miriã Nunes Guimarães,president, Arthur  Gruber
51,Miriã Nunes Guimarães,comitee, Edison Luiz Durigon
52,Miriã Nunes Guimarães,comitee, Ronaldo Fumio Hashimoto
53,Miriã Nunes Guimarães,comitee, Guilherme Corrêa de Oliveira
54,Yagoub Ali Ibrahim Adam,president, Ricardo Zorzetto Nicoliello  Vencio
55,Yagoub Ali Ibrahim Adam,comitee, Silvana Giuliatti
56,Yagoub Ali Ibrahim Adam,comitee, Helder Takashi Imoto Nakaya
